67	540	3550
43	346	3550
55	443	3550
55	443	4075
67	540	4075
43	346	4075
67	540	4076
43	346	4076
55	443	4076
43	346	4615
55	443	4615
67	540	4615
46	370	4616
58	467	4616
70	564	4616
70	564	4967
46	370	4967
58	467	4967
48	387	4967
60	483	4967
48	387	5318
60	483	5318
67	540	5318
43	346	5318
55	443	5318
67	540	5857
43	346	5857
55	443	5857
43	346	5857
55	443	5857
67	540	5857
67	540	6384
43	346	6384
55	443	6384
41	330	6384
53	427	6384
65	524	6384
65	524	6735
41	330	6735
53	427	6735
66	532	6735
42	338	6735
54	435	6735
66	532	7085
42	338	7085
54	435	7085
67	540	7087
43	346	7087
55	443	7087
67	540	7625
43	346	7625
55	443	7625
67	540	7625
43	346	7625
55	443	7625
55	443	8152
67	540	8152
43	346	8152
70	564	8153
46	370	8153
58	467	8153
70	564	8502
46	370	8502
58	467	8502
48	387	8504
60	483	8504
48	387	8867
60	483	8867
67	540	8867
43	346	8867
55	443	8867
55	443	9395
67	540	9395
43	346	9395
67	540	9395
43	346	9395
55	443	9395
43	346	9920
55	443	9920
67	540	9920
65	524	9921
41	330	9921
53	427	9921
65	524	10284
41	330	10284
53	427	10284
42	338	10285
54	435	10285
66	532	10285
66	532	10636
42	338	10636
54	435	10636
67	540	10636
43	346	10636
55	443	10636
43	346	11161
55	443	11161
67	540	11161
67	540	11162
43	346	11162
55	443	11162
67	540	11702
43	346	11702
55	443	11702
70	564	11702
46	370	11702
58	467	11702
70	564	12053
46	370	12053
58	467	12053
48	387	12053
60	483	12053
48	387	12404
60	483	12404
43	346	12404
55	443	12404
67	540	12404
55	443	12943
67	540	12943
43	346	12943
67	540	12943
43	346	12943
55	443	12943
67	540	13470
43	346	13470
55	443	13470
65	524	13470
41	330	13470
53	427	13470
65	524	13821
41	330	13821
53	427	13821
66	532	13822
42	338	13822
54	435	13822
66	532	14171
42	338	14171
54	435	14171
67	540	14173
43	346	14173
55	443	14173
43	346	14711
55	443	14711
67	540	14711
55	443	14711
67	540	14711
43	346	14711
43	346	15238
55	443	15238
67	540	15238
70	564	15239
46	370	15239
58	467	15239
70	564	15589
46	370	15589
58	467	15589
48	387	15590
60	483	15590
48	387	15953
60	483	15953
67	540	15954
43	346	15954
55	443	15954
55	443	16481
67	540	16481
43	346	16481
67	540	16481
43	346	16481
55	443	16481
55	443	17006
67	540	17006
43	346	17006
65	524	17007
41	330	17007
53	427	17007
65	524	17370
41	330	17370
53	427	17370
66	532	17371
42	338	17371
54	435	17371
66	532	17722
42	338	17722
54	435	17722
67	540	17722
43	346	17722
55	443	17722
67	540	18248
43	346	18248
55	443	18248
67	540	18248
43	346	18248
55	443	18248
67	540	18788
43	346	18788
55	443	18788
58	467	18788
70	564	18788
46	370	18788
70	564	19139
46	370	19139
58	467	19139
48	387	19139
60	483	19139
48	387	19490
60	483	19490
43	346	19490
55	443	19490
67	540	19490
67	540	20029
43	346	20029
55	443	20029
67	540	20029
43	346	20029
55	443	20029
67	540	20556
43	346	20556
55	443	20556
65	524	20556
41	330	20556
53	427	20556
65	524	20907
41	330	20907
53	427	20907
66	532	20908
42	338	20908
54	435	20908
66	532	21257
42	338	21257
54	435	21257
43	346	21259
55	443	21259
67	540	21259
67	540	21797
43	346	21797
55	443	21797
67	540	21797
43	346	21797
55	443	21797
67	540	22324
43	346	22324
55	443	22324
70	564	22325
46	370	22325
58	467	22325
70	564	22675
46	370	22675
58	467	22675
48	387	22676
60	483	22676
48	387	23039
60	483	23039
67	540	23040
43	346	23040
55	443	23040
67	540	23567
43	346	23567
55	443	23567
67	540	23567
43	346	23567
55	443	23567
67	540	24092
43	346	24092
55	443	24092
53	427	24094
65	524	24094
41	330	24094
65	524	24457
41	330	24457
53	427	24457
66	532	24457
42	338	24457
54	435	24457
66	532	24808
42	338	24808
54	435	24808
67	540	24808
43	346	24808
55	443	24808
67	540	25334
43	346	25334
55	443	25334
55	443	25334
67	540	25334
43	346	25334
67	540	25874
43	346	25874
55	443	25874
70	564	25874
46	370	25874
58	467	25874
70	564	26225
46	370	26225
58	467	26225
48	387	26225
60	483	26225
48	387	26576
60	483	26576
67	540	26576
43	346	26576
55	443	26576
55	443	27115
67	540	27115
43	346	27115
67	540	27116
43	346	27116
55	443	27116
55	443	27642
67	540	27642
43	346	27642
65	524	27642
41	330	27642
53	427	27642
41	330	27993
53	427	27993
65	524	27993
66	532	27994
42	338	27994
54	435	27994
66	532	28343
42	338	28343
54	435	28343
60	483	28345
36	290	28345
48	387	28345
60	483	28883
36	290	28883
48	387	28883
60	483	28883
36	290	28883
48	387	28883
48	387	29411
60	483	29411
36	290	29411
63	507	29411
39	314	29411
51	411	29411
63	507	29761
39	314	29761
51	411	29761
